68053d2c	Sun tarina
3fed1e11	Operaatio Yläkoulu
8ec0e809	Amazing Race
80d62804	Teette tämän tehtävän ryhmissä. Opettaja antaa jokaiselle ryhmälle kirjekuoren , sisällä on neljä rastikorttia. Ratkaiskaa rastit järjestyksessä yhdessä liikkuen.
834438e7	Avatkaa Rasti 1 ja lukekaa ohjeet ääneen yhdessä
a6eb407d	Ratkaiskaa tehtävä , ryhmä päättää itse milloin on valmis
1bd1fc2b	Vasta sitten avatkaa seuraava kortti
8bca613a	Viimeisessä rastissa valmistaudutte esitykseen koko luokalle
b57d60ae	Yhteenveto , mitä opit tällä oppitunnilla
c849d287	Avaa, kun olet tehnyt oppitunnin tehtävät
e782713e	Tämän oppitunnin jälkeen
4a6f92be	Tiedät, mitä uusia oppiaineita seitsemäs luokalla on
9e933617	Osaat nimetä Yläkoulun selviytymisoppaan neljä keinoa
f2caf29f	Tiedät, mitä oppilaanohjaus tarkoittaa ja kuka on oposi
2b3c2a74	Olet kirjoittanut kirjeen itsellesi , ajatukset tallennettu tulevaisuuteen
fff76120	Osaat nimetä ainakin kolme aikuista yläkoulussa, joilta voit pyytää apua
ed2aef45	Kirjoita kirje itsellesi kolmen vuoden päähän: Mitä toivot olevasi silloin? Mitä pelkäät? Mikä sinussa on nyt sellaista, jota et halua unohtaa? Säilytä kirje ja lue se yhdeksäs luokalla.
ca1e6d95	Kirjoita rehellisesti , kirje on vain sinulle
27dde882	Rupatteluhetki
332a4db1	Kysymyskortit tutustumiseen ja ryhmäytymiseen , rentoa juttelua yhdessä
7337b535	Ryhmässä
fb3c8c52	Pelitehtävä
12f6c7c9	Kysymyskortit
a2f6438b	Juttele kavereiden kanssa ja tutustukaa rennosti. Nostakaa kysymyskortteja ja vastatkaa vuorotellen , mukana hauskoja, rentoja ja vähän syvempiäkin kysymyksiä.
e2002e65	Selviytymiskeino 1 - opi oppimaan!
b4da3335	Opi, kasva, loista
a8ccbd93	Tunnet aivojen tavan oppia: kertaus, uni ja tauot kuuluvat oppimiseen
7c4ea502	Kokeilet vähintään yhtä uutta opiskelutekniikkaa
107cc17a	Ymmärrät, että oppiminen on taito, jota voi harjoitella , ei synnyinlahja
e5212a80	Miksi tämä kannattaa?Tutkimusten mukaan tehokkaimmat opiskelutekniikat , kuten itsensä testaaminen ja hajautettu kertaus , ovat juuri niitä, joita opiskelijat käyttävät vähiten. Kun opit nämä tekniikat nyt, säästät satoja tunteja työtä yläkoulun, kokeiden ja myöhemmin jatko-opintojen aikana.
966a0207	Kaikki oppii eri tavalla. Toinen oppii kuuntelemalla, toinen tekemällä. Hyvä oppija kokeilee eri tapoja, ei luovuta heti ja pyytää apua.
e11c2640	Oppiminen ei ole lahja , se on taito, jota voi ja kannattaakin kehittää!
c77e687c	Opi, kasva, loista!
2f9b774a	Muisti , Lukeminen , Ajanhallinta , Tekoäly
54798fb4	Neljä tehtävää, joissa harjoittelet oppimisen tärkeimpiä taitoja.
4aba8f39	Muisti ja muistaminen
204aaa93	Opi, miten aivosi toimivat!
e03b0401	Avaa tehtävä
cc376c55	Lukeminen
cc5178fb	Opi lukemaan älykkäämmin!
597289d8	Aikataulut
476398de	Ota aika hallintaan!
af749013	Opi tekoälyn kanssa
3e7f3bb9	Kokeile uutta oppimistapaa!
fafd11a4	Pakopeli
a445e1b4	Yläkoulun pakopeli: opi oppimaan!
b87265a1	Pääsetkö pakoon? Ratkaise tehtävät ja löydä omat oppimistapasi pelaamalla.
1ba46e11	Vinkki: kokeile eri vaihtoehtoja
77e4b65c	Tiedon temppeli
e89f1152	Pääsetkö temppelin huipulle? Nopeus ratkaisee!
3a8e4c1d	Tee itsellesi henkilökohtainen opiskelusuunnitelma: valitse yksi oppiaine, johon haluat panostaa tällä viikolla. Kirjaa, milloin opiskelet, miten ja miten arvioit onnistumistasi viikon lopussa.
3af25955	Pienet, konkreettiset tavoitteet toimivat paremmin kuin isot haaveet
c0f1cbe7	Hyvä tietää: tämä on koulutehtävä. Opettaja voi joskus pyytää sinua näyttämään päiväkirjasi. Se auttaa häntä tukemaan sinua. Kirjoita rehellisesti , ja juuri niin paljon kuin sinusta tuntuu hyvältä.
a2508fc2	Nimi
0fcfa56c	Luokka
61b5d792	Valitse 1, 2 kysymystä tai kaikki. Kirjoita lyhyt vastaus.
01ac01b0	Mikä tapa oppia toimi sinulle parhaiten tällä oppitunnilla?
ec634694	Mikä opiskelussa tuntui vaikealta?
34a95a04	Mitä kokeilisit ensi kerralla toisin?
3fc30e22	Osaat selittää, miksi pänttääminen yöllä ennen koetta ei toimi
576276a5	Tunnet vähintään kaksi tekniikkaa, joilla asiat jäävät muistiin paremmin
8a1973b8	Sinulla on suunnitelma, miten kokeilet uutta tekniikkaa seuraavan kokeen alla
9c512888	Selviytymiskeino 2 - löydä motivaatiosi
25ebf98e	Innostu uudelleen
248e6244	Tiedät, että motivaatio ei ole pysyvä ominaisuus vaan tila, johon voi vaikuttaa
36e896bd	Tunnistat asioita, jotka syövät tai ruokkivat omaa intoasi
c18d3ccb	Opit erottamaan sisäisen innostuksen ja ulkoisen pakon
0ee2eaa8	Miksi tämä kannattaa?Motivaatiotutkimuksen mukaan into syntyy kolmesta asiasta: saat päättää itse, opit ja onnistut, ja kuulut joukkoon. Kun tunnistat nämä, et jää odottamaan että motivaatio 'palaa itsestään' , vaan osaat hakea sitä aktiivisesti. Tätä taitoa tarvitset joka kerta, kun tylsä jakso iskee koulussa, harrastuksessa tai myöhemmin työssä.
beea4061	Mikä saa sinut liikkeelle?
05dc45b7	Motivaatio voi tulla kahdesta suunnasta , ja molemmat toimivat.
97534f20	Sisäinen motivaatio
6a5cff6b	Teen, koska haluan
f606786c	Saat energiaa itse tekemisestä tai oppimisesta.
f2c72b32	Esimerkkejä
b6600f80	, Aihe kiinnostaa oikeasti
301f6fec	, Haluaa osata paremmin
15639107	, Tekeminen tuntuu hyvältä
9aa010fb	Milloin viimeksi aika lensi koulussa?
086d15c9	Ulkoinen motivaatio
968b9f34	Teen, koska täytyy tai saa palkkion
91ff1d5a	Energia tulee ulkopuolelta: arvosana, kehu tai seuraukset.
a3cf8780	, Hyvä arvosana
76f2a4c4	, Vanhemmat odottavat
b4c0c4d7	, Ei halua epäonnistua
caab75d8	Mitä tapahtuu, jos palkinto katoaa?
aa08f03e	Molempia tarvitaan , omat keinot selviävät kokeilemalla.
7ece38f8	Mieti ennen peliä
321c122f	Onko sinulla oppiaine, joka tuntuu helpolta? Miksi?
806a9db9	Onko oppiaine, jota teet vain pakon edessä? Miltä se tuntuu?
a3d1cf0e	Mitä tapahtuisi, jos arvosanat poistuisivat kokonaan?
173f6714	Kadonnut motivaatio
0f79d7fc	Motivaatio on kadonnut , löydätkö sen? Pelaa ja löydä omat keinosi jaksamiseen.
94db308e	Motivaatiotori
afc39892	Liikkuva tehtävä
0c67b141	Jokaiselle ryhmälle annetaan yksi motivaatio-ongelmakortti. Ensin ryhmä keksii omat ratkaisut, sitten kierretään parantamassa toistensa ideoita.
ab9f8781	Lue korttisi ongelma ääneen ryhmälle
acf78700	Kirjaa kaikki ratkaisuideat kortille (3 min)
262722f8	Siirry seuraavalle kortille , lisää tai paranna ideoita (3 min/kierros)
113c8c53	Palaa omalle kortille ja valitse paras idea
74f8cd3d	Esittele ongelma ja voittajaidea luokalle (30 sek)
351f4753	Pidä motivaatiopäiväkirjaa viikon ajan: kirjaa joka päivä yksi asia, joka innosti sinua oppimaan , ja merkitse, oliko se sisäistä (halusin itse) vai ulkoista (piti tehdä / odotettiin). Pohdi viikon lopussa: kummasta saat enemmän energiaa?
87ff2397	Pienetkin asiat kelpaavat , vaikkapa se tunti, jolloin aika lensi
23337da4	Mikä saa sinut jaksamaan koulussa?
81f48dd9	Mikä vie sinulta motivaation?
b592dd1d	Mikä auttaisi sinua, kun into loppuu?
5000d943	Osaat nimetä kolme asiaa, jotka vaikuttavat omaan motivaatioosi
44ec92c4	Tiedät ainakin yhden keinon, jolla saat itsesi liikkeelle tylsänä päivänä
2d10a7b1	Ymmärrät eron: teen koska haluan vs. teen koska on pakko
a1384d77	Selviytymiskeino 3 - opi tuntemaan itsesi
6554513d	Tunne itsesi, luota itseesi
5a3995b9	Tunnistat vähintään kolme omaa luonteenvahvuuttasi
758e0e42	Ymmärrät, että vahvuudet ovat muutakin kuin kouluaineita
b6d76fce	Harjoittelet kertomaan itsestäsi myönteisesti
476aaf7d	Miksi tämä kannattaa?Omien vahvuuksien tunnistaminen ja käyttäminen on tutkitusti yhteydessä hyvinvointiin ja koulumenestykseen. Käytännössä tarvitset tätä taitoa pian: TET-paikan hakemisessa, yhteishaun pohdinnassa ja kaikissa tilanteissa, joissa pitää kertoa, kuka olet ja mitä osaat.
264c35b3	Kaikilla on vahvuuksia. Kun tunnet itsesi, teet parempia valintoja.
197e02a8	Testi / kysely
33aef2c1	Supervoimat , löydä omat vahvuutesi!
e3997442	Pelaa interaktiivinen tarina ja selvitä, mitkä ovat sinun supervoimasi. Tee valintoja ja löydä itsesi!
c53252ae	Vahvuushuutokauppa
37666651	Liikkuva ryhmätehtävä
fd2e1fc5	Jokaiselle ryhmälle annetaan budjetti: 10 pistettä ja lista 15 vahvuudesta. Ryhmä päättää yhdessä, mitkä 3 vahvuutta se haluaa "ostaa" , ja miksi juuri ne.
923d10b9	Lukekaa vahvuuslista läpi ja keskustelkaa: mitä kukin vahvuus tarkoittaa käytännössä?
dd939810	Sopikaa ryhmässä: mitkä 3 vahvuutta ostatte 10 pisteellä? (Pisteet voi jakaa esim. 4+4+2)
44e766b4	Jokainen kertoo vuorollaan: onko jokin ostetuista vahvuuksista minun?
84388b62	Kiertäkää kuuntelemassa, mitä muut ryhmät valitsivat , ja miksi
db0e2bb8	Purku: mikä vahvuus ostettiin useimmiten? Miksi se tuntuu tärkeältä?
ff0f227f	Luo oma vahvuuskartta: kirjoita paperille kaikki asiat, joissa olet mielestäsi hyvä , myös ne pieniltä tuntuvat. Luokittele vahvuudet: sosiaaliset, luovat, tekniset, fyysiset. Mitkä kategoria on sinulle vahvin?
87fde6da	Pyydä jotakuta, joka tuntee sinut hyvin, lisäämään listaan yhden vahvuuden, jota et itse huomannut
b6e0ecd1	Minkä huomasit osaavasi?
c16171cd	Mistä sait tällä viikolla hyvän fiiliksen tai kehut?
fa917f9f	Missä haluaisit tulla paremmaksi?
37ca81c9	Osaat nimetä omat ydinvahvuutesi ja antaa niistä esimerkin
7aa5d10a	Tiedät, että vahvuuksia voi kehittää käyttämällä niitä
77e53b19	Olet harjoitellut sanomaan itsestäsi jotain hyvää ääneen
4b59fee5	Selviytymiskeino 4 - unelmoi
d9fa591c	Unelmoi, kokeile, kasva
68c74b2a	Yksin tai parin kanssa
337c9c12	Harjoittelet kuvittelemaan erilaisia tulevaisuuksia
e47c9784	Huomaat, että haaveilu ja ideointi ovat taitoja, eivät laiskottelua
5bbae3c2	Opit toimimaan tilanteessa, jossa ei ole valmista oikeaa vastausta
f75ddc2e	Miksi tämä kannattaa?Tulevaisuudentutkijat puhuvat tulevaisuuslukutaidosta: kyvystä kuvitella useita mahdollisia tulevaisuuksia ja toimia, vaikka ei tiedä varmasti mitä tapahtuu. Moni työ, jota teet aikuisena, ei ole vielä olemassa , siksi kuvittelukyky on yhtä tärkeä taito kuin lukeminen tai laskeminen.
dc0ae499	Tulevaisuutta ei voi tietää etukäteen , mutta sitä voi harjoitella kuvittelemaan. Haaveilu ei ole laiskottelua. Se on taito, jota tarvitaan kun maailma muuttuu ja tutut työkalut katoavat.
abc175a5	Tällä oppitunnilla teet Aikamatka tulevaisuuteen -tehtävän: matkaat Robon kanssa vuoteen 2045, teet valintoja ja kirjoitat omista unelmistasi. Samalla harjoittelet tärkeintä taitoa: mitä teen, kun en tiedä mitä tehdä?
cd9039b5	Tehtävä , seikkailu , 10, 15 min
0f679118	Aikamatkatulevaisuuteen
0dd87473	Löysin aikakoneen! Tuletko mukaan vuoteen 2045?
9574ab85	Avaa Aikakone
f50d5e9a	Aikamatka tulevaisuuteen
a2927ab4	Tulevaisuutta ei voi tietää. Mutta sitä voi kuvitella , yhdessä Robon kanssa.
a7b542b1	Robo-robotti löysi vanhan aikakoneen. Se vie sinut vuoteen 2045 , aikaan, jolloin sinä olet jo aikuinen.
7f1b1436	Matkalla teet valintoja ja kirjoitat omista unelmistasi. Tarina on selkokielellä, ja sen voi tehdä itsenäisesti. Lopuksi voit tallentaa koonnin ja palauttaa sen opolle.
26b07dea	Tulevaisuuden arki , Robo yllättyy
7e9d8141	Mikä uusi asia tulevaisuudessa kiinnostaa sinua? Valitse ja kerro miksi.
4e99b6f3	Tulevaisuuden työt , Robo selaa puhelinta
61bb516c	Millaista työtä haluaisit kokeilla? Keksi jopa oma uusi ammatti.
e2430bb3	Oma unelma , koonti ja tallennus
b0b93840	Kirjoita yksi unelma ja yksi pieni askel jo nyt. Tallenna koonti opolle.
ff9f45a3	Yhdessä tunnilla
e0edc5a3	Jaetaan unelmat
ae20cdd9	Kun jokainen on tehnyt aikamatkan, jaetaan ajatukset yhdessä. Tarkoitus ei ole arvioida, vaan kuunnella: tulevaisuus voi näyttää erilaiselta jokaisen silmin.
e97cc0cf	Jokainen kertoo halutessaan yhden tulevaisuuden työn tai unelman
c0fe512c	Muut kuuntelevat , ei arvostella, jokainen unelma on yhtä arvokas
ca5b76e0	Etsitään yhteisiä asioita: mikä unelma toistuu monella?
8472cdb1	Koonnin voi palauttaa opolle (esim. Classroomiin)
1df287e0	Mikä sai sinut tällä viikolla innostumaan?
84eab347	Millaisesta tulevaisuudesta haaveilet juuri nyt?
4aa2f5e9	Mitä uutta opit itsestäsi?
1345b360	Olet kuvitellut oman tulevaisuutesi ja kirjannut yhden unelman
817f41fa	Osaat sietää tilannetta, jossa oikeaa vastausta ei ole
6d333d79	Tiedät, että tulevaisuuteen voi vaikuttaa omilla valinnoilla , yhdellä pienellä askeleella kerrallaan
6969b2de	Koulupäivän jälkeen
715a9e60	Löydä mielekästä tekemistä vapaa-ajalle.
8df49ee5	Koulu on vain osa päivää. Vapaa-ajalla opit asioita, joita koulussa ei opeteta , ja löydät ehkä jotain, josta tulee sinulle tärkeää.
7f63a3e8	Moi! Yläkoulu alkaa tästä
d7792330	seitsemäs luokka , DigiOpo , Tulevaisuus
9b80fb59	Opi haaveilemaan tulevaisuutta
051bf40b	Oma nimesi
fd97ddc3	Ryhmäläisten nimet , täytetään kun ryhmä muodostuu (vaihe 3)
29962625	Ryhmäläinen 2
28962492	Ryhmäläinen 3
23961cb3	Ryhmäläinen 4
6d884be4	Vaihe 1 , Herättely , Yksin pari , 5, 8 min
38ec2e86	Tilanne , Kallioharjun koulu
db601980	Kallioharjun some-katastrofi
b25df045	Some oli kerran uusi keksintö. Joku keksi sen. Nyt te keksitte seuraavan. Kallioharjun koulun rehtori Virtanen teki eilen historian suurimman päätöksen: "Koulu sulkee kaikki digitaaliset viestintäkanavansa. Heti. Lopullisesti." Instagram? Poistettu. TikTok? Häipynyt. Discord? Tuhottu. Ja sitten tuli se isoin uutinen: Wilma sammutetaan. Ryhmächatit hiljenivät yhdessä yössä. Kukaan ei tiedä, missä porukka hengaa välitunnilla tai kuka tulee illalla pelaamaan. Snäppi-streakit kuolivat. Meemit, joille koko luokka nauroi eilen, ovat poissa. Et voi postata mitään , eikä kukaan näe mitä teet. Treenien peruutuksesta ei tule viestiä kenellekään. Synttärikutsut eivät tavoita ketään. Uusi oppilas jää yksin, koska kaikki porukat olivat somessa. Koko koulun yhteinen juttu katosi yhdessä yössä. Olette oppilaskunnan hätäkokous.
cdfbe9d1	Mitä keksit somen tilalle?
362765cc	Mieti itse ensin , kirjoita yksi idea. Se voi olla tekninen, hauska, erikoinen tai täysin hullu. Ei ole väärää vastausta.
defa25ba	Minun ideani
0036cc06	Sitten parille Kerro ideasi vieruskaverille. Kuuntele hänen ideansa. Miettikää yhdessä: mikä toimisi paremmin kuin kumpikaan yksin?
5f0bff17	Yhteinen ideamme
be6a74cb	Vaihe 2 , Millainen ajattelija sinä olet , Yksilö , 8, 10 min
a300f548	Oppilaskunta tarvitsee erilaisia ihmisiä.
2eb6211d	Alla on neljä tilannetta. Valitse jokaisesta se vaihtoehto, joka kuulostaa sinulta , ei ole oikeaa tai väärää.
b13d4586	Oppilaskokous alkaa. Kukaan ei sano mitään. Sinä...
dbdf405f	Vaihtoehto A, Aloitat puhumaan , joku sen on tehtävä
c95dbe2f	Vaihtoehto B, Odotat että muut aloittavat , kuuntelet ensin
ed83da1b	Vaihtoehto C, Kirjoitat paperille mitä ajattelet , kerrot sitten
6beadeb0	Vaihtoehto D, Mietit miksi kukaan ei puhu , ongelma on siinä
9ba423ee	Ryhmällä on kolme ideaa eikä päästä yhteiseen ratkaisuun. Sinä...
6859d293	Vaihtoehto A, Ehdotat äänestystä , demokratia ratkaisee
2cedf08b	Vaihtoehto B, Yrität löytää mitä ideoissa on yhteistä
8ff0e9c2	Vaihtoehto C, Keksit neljännen idean joka yhdistää kaikki
4d558555	Vaihtoehto D, Muistutat että aika loppuu , pakko päättää
525b5070	Joku ehdottaa ideaa joka kuulostaa hullulta. Sinä...
2f5bc78c	Vaihtoehto A, Innostut , hullut ideat ovat parhaita
20425d2f	Vaihtoehto B, Kysyt miten se käytännössä toimisi
2c45928e	Vaihtoehto C, Pidät mielipiteen omana , ei kannata tyrmätä
abcaa9fc	Vaihtoehto D, Muokkaat ideaa heti paremmaksi mielessäsi
f4e03510	Ratkaisu on löydetty mutta kukaan ei halua esittää sitä rehtorille. Sinä...
0d543af0	Vaihtoehto A, Ilmoittaudut heti , ei se niin vaikeaa ole
a7fb79eb	Vaihtoehto B, Ehdotat ensin selkeää esitystä , sitten mennään
51ab75cb	Vaihtoehto C, Ehdotat että mennään yhdessä , ei yksin
9f3413e3	Vaihtoehto D, Kirjoitat mieluummin kuin puhut , ehdotat kirjettä
f2633498	Vaihe 3 , Kallioharjun ratkaisu , Pienryhmä , 15, 20 min
7969a4dc	Aika on tullut.
330ff3ec	Oppilaskunta kokoontuu. Teillä on yksi mahdollisuus vakuuttaa rehtori Virtanen. Katsokaa ryhmäänne , teillä on erilaisia ajattelijoita. Se on teidän vahvuutenne.
73399e6d	Kuka teistä hoitaa mitäkin? Sopikaa roolit ensin.
cd065b1d	Puheenjohtaja
83bc257d	Pitää keskustelun liikkeessä, huolehtii että kaikki pääsevät ääneen
c9c06fb9	Kirjuri
8dbf9996	Kirjaa ryhmän parhaat ideat
fe4a7a87	Kyselijä
ffb07a69	Esittää vaikeita kysymyksiä: "Mutta toimiiko tämä oikeasti?"
5f6250c0	Esittäjä
da89931c	Kertoo lopuksi muille luokalle mitä ryhmä keksi
07b9aa92	Rehtori kysyy: miten pidätte yhteyttä kavereihin ilman somea?
6d6070e0	Keksikää yksi konkreettinen idea. Se voi olla tekninen, hauska tai erikoinen , kunhan se toimii.
dc1c1306	Uusi oppilas tulee ensi viikolla. Hän ei tunne ketään eikä tiedä mitään koulusta.
79c8b8fb	Miten hän saa tiedon ja löytää kaverit , ilman somea?
f3bbb721	Tämä on vaikein kysymys.
ca7d6f35	Mitä koulu menettää pysyvästi kun some lähtee , ja voiko sen korvata millään? Tähän ei ole oikeaa vastausta. Keskustelkaa 3 minuuttia.
0fc5d2a6	Huomasitteko jotain?
ab1cc1d6	Yksin teidän ideat olivat yhdenlaisia.Yhdessä ne muuttuivat. Juuri niin tulevaisuutta rakennetaan , ei yksin.
366f727d	Tallenna vastauksesi
3f1dd680	Lataa vastauksesi tekstitiedostona ja lähetä se opettajalle Classroomin kautta.
5567d2d0	Tiedosto ladattu! Muista lähettää se Classroomiin.
7b25fb2b	Mitä seuraavaksi:
07eb3406	1Paina "Lataa vastaukseni" , tiedosto tallentuu automaattisesti
54b3b80a	2Avaa Google Classroom ja etsi tämä tehtävä
41a2898f	3Liitä tekstitiedosto tehtävään ja palauta
8bb4b3d7	Aloitus , vaihe 1 / 6
8c463875	Tulevaisuus , seitsemäs luokka
73acc537	Hei! Minä olen Robo.
40e44f86	Löysin vanhan aikakoneen. Se vie meidät tulevaisuuteen. Tuletko mukaan? Matkalla mietit, millainen sinun oma tulevaisuutesi voisi olla.
f84b4ce9	Näin teet tehtävän: Lue tarina. Tee valintoja. Kirjoita omat ajatuksesi. Lopuksi voit tallentaa vastaukset ja palauttaa ne opolle.
9bdebbad	Aikakone käynnistyy
6ed3e3df	Robo sanoo: Paina nappia! Me hypätään vuoteen 2045. Se on noin 20 vuoden päässä. Sinä olet silloin aikuinen.
1c87b06d	Robo sanoo:
74cc8859	Aikakone surisee. Valot vilkkuvat. Sitten kaikki on hetken hiljaa.
9dd53d24	Ennen kuin lähdetään, mieti yksi asia:
4be6013f	Mikä on sinulle tärkeää juuri nyt? (Esimerkiksi kaverit, harrastus, lemmikki, koulu.)
9c41caac	Pysähdys 1: Tulevaisuuden arki
c0522ef1	Robo huudahtaa: Vau! Katso ympärillesi! Kaikki on muuttunut. Bussit lentävät. Robotit auttavat kaupassa. Mutta ihmiset näyttävät ihan samalta.
3acf3674	Robo huudahtaa:
d43079bd	Te kävelette kadulla vuonna 2045. Moni asia on uutta. Silti ihmiset tekevät tuttuja asioita: he syövät, nauravat ja tapaavat kavereita.
cc589ee7	Valitse: Mikä uusi asia tulevaisuudessa kiinnostaa sinua eniten?
dc49848d	Vaihtoehto A, Robotit, jotka auttavat ihmisiä
9a6f78b2	Vaihtoehto B, Puhtaampi luonto ja uusi energia
5fdef663	Vaihtoehto C, Matkat avaruuteen
0a7f73e1	Vaihtoehto D, Uudet pelit ja virtuaalimaailmat
8e1827be	Miksi valitsit juuri sen? Kirjoita lyhyesti.
2a2bfaf4	Pysähdys 2: Tulevaisuuden työt
15d66fc8	Robo selaa puhelinta: Katso! Täällä on outoja ammatteja. Avaruusoppaita. Robottien hoitajia. Merilevän viljelijöitä. Moni näistä töistä ei ollut olemassa, kun sinä synnyit.
ba4ad583	Robo selaa puhelinta:
62d0ae62	Tutkijat sanovat näin: suuri osa tulevaisuuden töistä on vielä keksimättä. Se kuulostaa pelottavalta. Mutta se on myös hyvä uutinen.
359d8224	Sinä voit itse keksiä uuden työn.
95ae589e	Valitse: Millaista työtä haluaisit kokeilla tulevaisuudessa?
6cdf8d4b	Vaihtoehto A, Työ, jossa rakennan tai korjaan asioita
f9737e11	Vaihtoehto B, Työ, jossa luon ja keksin uutta
c7843666	Vaihtoehto C, Työ, jossa autan muita ihmisiä
d9cd7df0	Vaihtoehto D, Työ, jossa tutkin ja ratkaisen ongelmia
6ea85472	Keksi oma tulevaisuuden ammatti. Sen ei tarvitse olla vielä olemassa.
89a2ee41	Hyvä muistaa: Sinun ei tarvitse tietää vielä, mikä sinusta tulee. Riittää, että kokeilet ja mietit. Se on jo tärkeä taito.
bff2e264	Pysähdys 3: Sinun unelmasi
2ea99455	Robo kysyy: Nyt sinä olet nähnyt tulevaisuuden. Mitä sinä haluat siellä tehdä? Kerro minulle yksi unelma.
a7699914	Robo kysyy:
eae468b4	Unelma ei ole lupaus. Se voi muuttua monta kertaa. Unelma on vain suunta, jota kohti kuljet.
4174007c	Yksi unelmani tulevaisuudessa on…
78b88c9e	Yksi pieni asia, jonka voin tehdä jo nyt sitä kohti, on…
19c4981c	Matka on valmis
50b7b4a6	Robo sanoo: Hienoa! Sinä mietit omaa tulevaisuuttasi rohkeasti. Tässä on koonti matkasta. Voit tallentaa sen ja näyttää opolle.
ad89f912	Minulle on nyt tärkeää:
d01034df	Tulevaisuudessa kiinnostaa:
86f6a72a	Haluamani työ ja oma ammatti-idea:
5a2223b2	Unelmani:
fe595116	Pieni askel jo nyt:
324df118	Tiedosto on tallennettu. Muista palauttaa se opolle (esimerkiksi Classroomiin).
8734644e	Ryhmäkeskustelu
721f5391	Kirja kiinni , mitä muistat?
9c863526	Keskustellaan erilaisista oppimistavoista ja siitä, mikä toimii kenellekin.
f32a8f80	Keskustelun aihe
6e79c1e0	Aktiivinen muisteleminen
ece34edc	Passiivinen lukeminen ja alleviivaaminen on todettu tehottomaksi oppimisen kannalta.
bd1a3587	Parempi tapa on laittaa kirja kiinni: lue kappale, piilota kirja ja kirjoita tai sano ääneen kaikki, mitä muistat.
dfdd9e76	Lähde: Nuortennetti / Mannerheimin Lastensuojeluliitto (2026)
a6df84cb	Mieti ensin itse
ccfb0852	Sulje kirja tai laite. Mieti hiljaa: mitä juuri opit? Mikä jäi erityisesti mieleen?
380e5905	Kerro parille tai pienryhmälle
b0f1ce3e	Kerro vuorotellen: mitä muistit? Kuuntele toista. Mitä teillä oli samaa , mitä eri?
2658b61c	Jaa koko luokalle
ecbfcce2	Yksi asia ryhmästänne: mikä yllätti tai jäi parhaiten mieleen?
